,duichanghao,hang,lie,x,y
5137,21,1,13,66861.3,-3394.2
5138,21,1,14,67494.5,-3394.3
5139,21,1,15,68127.7,-3394.4
5140,21,1,16,68760.9,-3394.5
5141,21,1,17,69394.1,-3394.6
5142,21,1,18,70027.3,-3394.7
5143,21,1,19,70660.5,-3394.8
5144,21,1,20,71293.7,-3394.9
5145,21,1,21,71926.9,-3395
5146,21,1,22,72560.1,-3395.1
5147,21,1,23,73193.3,-3395.2
5148,21,1,24,73826.5,-3395.3
5149,21,1,25,74459.7,-3395.4
5150,21,1,26,75092.9,-3395.5
5151,21,1,27,75726.1,-3395.6
5152,21,1,28,76359.3,-3395.7
5153,21,1,29,76992.5,-3395.8
5154,21,1,30,77625.7,-3395.9
5155,21,1,31,78258.9,-3396
5156,21,1,32,78892.1,-3396.1
5157,21,1,33,79525.3,-3396.2
5158,21,1,34,80158.5,-3396.3
5159,21,1,35,80791.7,-3396.4
5160,21,1,36,81424.9,-3396.5
5161,21,1,37,82058.1,-3396.6
5162,21,1,38,82691.3,-3396.7
5163,21,1,39,83324.5,-3396.8
5164,21,1,40,83957.7,-3396.9
5165,21,1,41,84590.9,-3397
5166,21,1,42,85224.1,-3397.1
5167,21,1,43,85857.3,-3397.2
5168,21,1,44,86490.5,-3397.3
5169,21,2,1,59264.04,-3671.5
5170,21,2,2,59897.24,-3671.6
5171,21,2,3,60530.44,-3671.7
5172,21,2,4,61163.64,-3671.8
5173,21,2,5,61796.84,-3671.9
5174,21,2,6,62430.04,-3672
5175,21,2,7,63063.24,-3672.1
5176,21,2,8,63696.44,-3672.2
5177,21,2,9,64329.64,-3672.3
5178,21,2,10,64962.84,-3672.4
5179,21,2,11,65596.04,-3672.5
5180,21,2,12,66229.24,-3672.6
5181,21,2,13,66862.44,-3672.7
5182,21,2,14,67495.64,-3672.8
5183,21,2,15,68128.84,-3672.9
5184,21,2,16,68762.04,-3673
5185,21,2,17,69395.24,-3673.1
5186,21,2,18,70028.44,-3673.2
5187,21,2,19,70661.64,-3673.3
5188,21,2,20,71294.84,-3673.4
5189,21,2,21,71928.04,-3673.5
5190,21,2,22,72561.24,-3673.6
5191,21,2,23,73194.44,-3673.7
5192,21,2,24,73827.64,-3673.8
5193,21,2,25,74460.84,-3673.9
5194,21,2,26,75094.04,-3674
5195,21,2,27,75727.24,-3674.1
5196,21,2,28,76360.44,-3674.2
5197,21,2,29,76993.64,-3674.3
5198,21,2,30,77626.84,-3674.4
5199,21,2,31,78260.04,-3674.5
5200,21,2,32,78893.24,-3674.6
5201,21,2,33,79526.44,-3674.7
5202,21,2,34,80159.64,-3674.8
5203,21,2,35,80792.84,-3674.9
5204,21,2,36,81426.04,-3675
5205,21,2,37,82059.24,-3675.1
5206,21,2,38,82692.44,-3675.2
5207,21,2,39,83325.64,-3675.3
5208,21,2,40,83958.84,-3675.4
5209,21,2,41,84592.04,-3675.5
5210,21,2,42,85225.24,-3675.6
5211,21,2,43,85858.44,-3675.7
5212,21,2,44,86491.64,-3675.8
5213,21,3,1,59265.18,-3950
5214,21,3,2,59898.38,-3950.1
5215,21,3,3,60531.58,-3950.2
5216,21,3,4,61164.78,-3950.3
5217,21,3,5,61797.98,-3950.4
5218,21,3,6,62431.18,-3950.5
5219,21,3,7,63064.38,-3950.6
5220,21,3,8,63697.58,-3950.7
5221,21,3,9,64330.78,-3950.8
5222,21,3,10,64963.98,-3950.9
5223,21,3,11,65597.18,-3951
5224,21,3,12,66230.38,-3951.1
5225,21,3,13,66863.58,-3951.2
5226,21,3,14,67496.78,-3951.3
5227,21,3,15,68129.98,-3951.4
5228,21,3,16,68763.18,-3951.5
5229,21,3,17,69396.38,-3951.6
5230,21,3,18,70029.58,-3951.7
5231,21,3,19,70662.78,-3951.8
5232,21,3,20,71295.98,-3951.9
5233,21,3,21,71929.18,-3952
5234,21,3,22,72562.38,-3952.1
5235,21,3,23,73195.58,-3952.2
5236,21,3,24,73828.78,-3952.3
5237,21,3,25,74461.98,-3952.4
5238,21,3,26,75095.18,-3952.5
5239,21,3,27,75728.38,-3952.6
5240,21,3,28,76361.58,-3952.7
5241,21,3,29,76994.78,-3952.8
5242,21,3,30,77627.98,-3952.9
5243,21,3,31,78261.18,-3953
5244,21,3,32,78894.38,-3953.1
5245,21,3,33,79527.58,-3953.2
5246,21,3,34,80160.78,-3953.3
